"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 19:35:01 GMT 2023","Sat Apr 08 19:35:06 GMT 2023","4301","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[2] 50","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
"passed","Sat Apr 08 19:35:01 GMT 2023","Sat Apr 08 19:35:06 GMT 2023","4924","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[1] 30","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
"passed","Sat Apr 08 19:35:01 GMT 2023","Sat Apr 08 19:35:06 GMT 2023","4941","","Тесты проверки покемонов","","com.github.Chestaci.APITest","weightAndRunAwayAbilityPokemonComparisonTest","[1] rattata, pidgeotto","Тест для осуществления проверки сравнения покемонов rattata и pidgeotto по весу и способности убежать"
