"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 15:37:49 GMT 2023","Wed Apr 05 15:37:49 GMT 2023","218","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[2] 50","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
"passed","Wed Apr 05 15:37:48 GMT 2023","Wed Apr 05 15:37:49 GMT 2023","1290","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[1] 30","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
"passed","Wed Apr 05 15:37:48 GMT 2023","Wed Apr 05 15:37:48 GMT 2023","30","","Тесты проверки покемонов","","com.github.Chestaci.APITest","weightAndRunAwayAbilityPokemonComparisonTest","[1] rattata, pidgeotto","Параметризованный тест для осуществления проверки сравнения двух покемонов по весу и способности убежать"
"passed","Wed Apr 05 15:37:48 GMT 2023","Wed Apr 05 15:37:48 GMT 2023","183","","Тесты проверки покемонов","","com.github.Chestaci.APITest","getPokemonTest","[2] pidgeotto","Параметризованный тест для осуществления проверки успешного получения покемона"
"passed","Wed Apr 05 15:37:45 GMT 2023","Wed Apr 05 15:37:47 GMT 2023","2609","","Тесты проверки покемонов","","com.github.Chestaci.APITest","getPokemonTest","[1] rattata","Параметризованный тест для осуществления проверки успешного получения покемона"
