"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 07 11:04:29 GMT 2023","Fri Apr 07 11:04:33 GMT 2023","4485","","Тесты проверки покемонов","","com.github.Chestaci.APITest","weightAndRunAwayAbilityPokemonComparisonTest","[1] rattata, pidgeotto","Тест для осуществления проверки сравнения покемонов rattata и pidgeotto по весу и способности убежать"
"passed","Fri Apr 07 11:04:29 GMT 2023","Fri Apr 07 11:04:32 GMT 2023","3010","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[2] 50","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
"passed","Fri Apr 07 11:04:29 GMT 2023","Fri Apr 07 11:04:32 GMT 2023","3710","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[1] 30","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
