"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 08:44:49 GMT 2023","Mon Apr 10 08:44:54 GMT 2023","5015","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[1] 30","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
"passed","Mon Apr 10 08:44:49 GMT 2023","Mon Apr 10 08:44:54 GMT 2023","5026","","Тесты проверки покемонов","","com.github.Chestaci.APITest","weightAndRunAwayAbilityPokemonComparisonTest","[1] rattata, pidgeotto","Тест для осуществления проверки сравнения покемонов rattata и pidgeotto по весу и способности убежать"
"passed","Mon Apr 10 08:44:49 GMT 2023","Mon Apr 10 08:44:54 GMT 2023","4361","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[2] 50","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
