"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 12:15:35 GMT 2023","Sun Apr 09 12:15:40 GMT 2023","4852","","Тесты проверки покемонов","","com.github.Chestaci.APITest","weightAndRunAwayAbilityPokemonComparisonTest","[1] rattata, pidgeotto","Тест для осуществления проверки сравнения покемонов rattata и pidgeotto по весу и способности убежать"
"passed","Sun Apr 09 12:15:36 GMT 2023","Sun Apr 09 12:15:40 GMT 2023","4187","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[2] 50","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
"passed","Sun Apr 09 12:15:35 GMT 2023","Sun Apr 09 12:15:40 GMT 2023","4840","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[1] 30","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
