"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 12:40:04 GMT 2023","Thu Apr 06 12:40:05 GMT 2023","999","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[1] 30","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
"passed","Thu Apr 06 12:40:01 GMT 2023","Thu Apr 06 12:40:04 GMT 2023","2506","","Тесты проверки покемонов","","com.github.Chestaci.APITest","weightAndRunAwayAbilityPokemonComparisonTest","[1] rattata, pidgeotto","Тест для осуществления проверки сравнения покемонов rattata и pidgeotto по весу и способности убежать"
"passed","Thu Apr 06 12:40:05 GMT 2023","Thu Apr 06 12:40:05 GMT 2023","222","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[2] 50","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
