"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 15:46:23 GMT 2023","Wed Apr 05 15:46:23 GMT 2023","24","","Тесты проверки покемонов","","com.github.Chestaci.APITest","weightAndRunAwayAbilityPokemonComparisonTest","[1] rattata, pidgeotto","Параметризованный тест для осуществления проверки сравнения двух покемонов по весу и способности убежать"
"passed","Wed Apr 05 15:46:23 GMT 2023","Wed Apr 05 15:46:25 GMT 2023","1189","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[1] 30","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
"passed","Wed Apr 05 15:46:21 GMT 2023","Wed Apr 05 15:46:23 GMT 2023","2184","","Тесты проверки покемонов","","com.github.Chestaci.APITest","getPokemonTest","[1] rattata","Параметризованный тест для осуществления проверки успешного получения покемона"
"passed","Wed Apr 05 15:46:23 GMT 2023","Wed Apr 05 15:46:23 GMT 2023","89","","Тесты проверки покемонов","","com.github.Chestaci.APITest","getPokemonTest","[2] pidgeotto","Параметризованный тест для осуществления проверки успешного получения покемона"
"passed","Wed Apr 05 15:46:25 GMT 2023","Wed Apr 05 15:46:25 GMT 2023","433","","Тесты проверки покемонов","","com.github.Chestaci.APITest","listLimitCheckAndNameAvailabilityTest","[2] 50","Параметризованный тест для осуществления проверки ограничения списка покемонов и наличия имени у каждого покемона в ограниченном списке"
