"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тесты проверки GET запросов","Тест сравнения двух покемонов","0","0","1","0","0"
"","Тесты проверки GET запросов","Тест ограничения списка покемонов и проверки наличия имени","0","0","2","0","0"
"","Тесты проверки GET запросов","Тест успешного получения покемона","0","0","2","0","0"
